Version, Version Name, Name, Age, Revisions, Bugfix, LOCs, LOCs Touched, LOCs Added, Churn, Avg. Churn, Authors Number, Average Change Set, Buggy
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableLeader.java,1,0,0,74,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableLeaderZooKeeperServer.java,1,0,0,47,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableQuorumPeer.java,1,0,0,102,0,0,0,0,3,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/server/util/ConnectionObserver.java,1,0,0,35,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/server/util/DataTreeObserver.java,1,0,0,50,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/server/util/EventInfo.java,1,0,0,28,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/server/util/ObservableComponent.java,1,0,0,32,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/server/util/ObserverManager.java,1,0,0,87,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/server/util/QuorumPeerObserver.java,1,0,0,66,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/server/util/ServerObserver.java,1,0,0,35,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/server/util/ZooKeeperObserverManager.java,1,0,0,53,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/BinaryInputArchive.java,1,0,0,109,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/BinaryOutputArchive.java,1,0,0,126,0,0,0,0,3,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/CsvInputArchive.java,1,0,0,183,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/CsvOutputArchive.java,1,0,0,128,0,0,0,0,4,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/Index.java,1,0,0,37,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/InputArchive.java,1,0,0,42,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/main/org/apache/jute/OutputArchive.java,1,0,0,44,0,0,0,0,3,0,false
